11,21,Nan,Nan,Nan,Nan,Nan,Nan
7,11,37,45,Nan,Nan,Nan,Nan
3,33,42,Nan,Nan,Nan,Nan,Nan
5,12,17,47,Nan,Nan,Nan,Nan
6,18,42,Nan,Nan,Nan,Nan,Nan
2,4,34,Nan,Nan,Nan,Nan,Nan
15,16,23,40,Nan,Nan,Nan,Nan
2,3,29,34,Nan,Nan,Nan,Nan
18,23,26,35,36,Nan,Nan,Nan
44,45,Nan,Nan,Nan,Nan,Nan,Nan
17,38,48,49,Nan,Nan,Nan,Nan
2,3,11,21,37,41,49,Nan
3,17,43,48,Nan,Nan,Nan,Nan
17,35,43,45,Nan,Nan,Nan,Nan
15,37,43,Nan,Nan,Nan,Nan,Nan
0,2,20,46,48,Nan,Nan,Nan
17,47,Nan,Nan,Nan,Nan,Nan,Nan
14,Nan,Nan,Nan,Nan,Nan,Nan,Nan
16,39,Nan,Nan,Nan,Nan,Nan,Nan
13,42,Nan,Nan,Nan,Nan,Nan,Nan
7,11,37,45,Nan,Nan,Nan,Nan
7,15,49,Nan,Nan,Nan,Nan,Nan
23,24,40,41,43,Nan,Nan,Nan
9,15,28,47,Nan,Nan,Nan,Nan
32,33,37,Nan,Nan,Nan,Nan,Nan
5,8,16,19,20,25,39,45
13,22,24,32,33,Nan,Nan,Nan
14,44,Nan,Nan,Nan,Nan,Nan,Nan
6,13,20,39,40,44,49,Nan
13,46,Nan,Nan,Nan,Nan,Nan,Nan
8,27,28,Nan,Nan,Nan,Nan,Nan
1,19,Nan,Nan,Nan,Nan,Nan,Nan
6,36,Nan,Nan,Nan,Nan,Nan,Nan
7,15,49,Nan,Nan,Nan,Nan,Nan
12,31,36,48,Nan,Nan,Nan,Nan
17,29,47,Nan,Nan,Nan,Nan,Nan
5,10,21,34,37,48,Nan,Nan
1,19,Nan,Nan,Nan,Nan,Nan,Nan
4,9,Nan,Nan,Nan,Nan,Nan,Nan
7,15,40,49,Nan,Nan,Nan,Nan
18,19,21,35,Nan,Nan,Nan,Nan
3,17,19,Nan,Nan,Nan,Nan,Nan
13,14,27,Nan,Nan,Nan,Nan,Nan
14,19,Nan,Nan,Nan,Nan,Nan,Nan
0,2,6,46,Nan,Nan,Nan,Nan
14,30,39,44,Nan,Nan,Nan,Nan
0,26,46,Nan,Nan,Nan,Nan,Nan
0,2,46,Nan,Nan,Nan,Nan,Nan
1,3,12,24,31,36,39,48
33,Nan,Nan,Nan,Nan,Nan,Nan,Nan
28,42,Nan,Nan,Nan,Nan,Nan,Nan
0,2,46,Nan,Nan,Nan,Nan,Nan
4,9,Nan,Nan,Nan,Nan,Nan,Nan
3,18,35,Nan,Nan,Nan,Nan,Nan
23,24,40,41,43,Nan,Nan,Nan
33,42,43,47,Nan,Nan,Nan,Nan
14,33,44,Nan,Nan,Nan,Nan,Nan
15,22,28,29,41,Nan,Nan,Nan
